,experiment,runtime,finished,R,speedup
0,designs/ethernet/random_bug_13/fail_0,3590.42,1,0.884414959567,2.36499687119
1,designs/ethernet/random_bug_13/fail_0_1pass,1518.15,1,1.0,1.0
2,designs/ethernet/random_bug_13/fail_0_multipass_DATE,2431.49,0,1.03638447388,1.60161380628
3,designs/ethernet/random_bug_13/fail_0_multipass_opt,3940.2,1,0.877329090408,2.59539571189
4,designs/ethernet/random_bug_13/fail_0_multipass_v2,4298.66,1,0.914744949541,2.83151203768
5,designs/ethernet/random_bug_13/fail_2,687.26,1,1.02454914927,1.07505318483
6,designs/ethernet/random_bug_13/fail_2_1pass,639.28,1,1.0,1.0
7,designs/ethernet/random_bug_13/fail_2_multipass_DATE,606.62,1,1.00958765227,0.948911275185
8,designs/ethernet/random_bug_13/fail_2_multipass_opt,735.88,1,1.01421886905,1.15110749593
9,designs/ethernet/random_bug_13/fail_2_multipass_v2,551.18,1,1.1575472116,0.862188712301
10,designs/ethernet/random_bug_3/fail_4,5025.78,1,0.654738541192,1.89796750731
11,designs/ethernet/random_bug_3/fail_4_1pass,2647.98,1,1.0,1.0
12,designs/ethernet/random_bug_3/fail_4_multipass_DATE,2761.07,1,1.2620111469,1.0427080265
13,designs/ethernet/random_bug_3/fail_4_multipass_opt,4623.45,1,0.583722848946,1.74602904856
14,designs/ethernet/random_bug_3/fail_4_multipass_v2,2531.44,1,1.53229191311,0.955989093573
15,designs/ethernet/random_bug_8/fail_2,6839.01,1,1.54815936834,0.869581968057
16,designs/ethernet/random_bug_8/fail_2_1pass,7864.71,1,1.0,1.0
17,designs/ethernet/random_bug_8/fail_2_multipass_DATE,3651.79,1,2.12768020369,0.464326084496
18,designs/ethernet/random_bug_8/fail_2_multipass_opt,3638.86,1,2.10681619638,0.462682031505
19,designs/ethernet/random_bug_8/fail_2_multipass_v2,3725.04,1,1.58764246158,0.473639841774
20,designs/ethernet/random_bug_9/fail_0,6393.09,1,1.5473522753,1.0852189589
21,designs/ethernet/random_bug_9/fail_0_1pass,5891.06,1,1.0,1.0
22,designs/ethernet/random_bug_9/fail_0_multipass_DATE,2064.0,1,4.32972936905,0.350361395063
23,designs/ethernet/random_bug_9/fail_0_multipass_opt,4520.61,1,2.44132890036,0.76736784212
24,designs/ethernet/random_bug_9/fail_0_multipass_v2,3582.57,1,3.3274146157,0.608136736003
25,designs/ethernet/random_bug_9/fail_3,7608.3,1,1.48851875968,1.07876610358
26,designs/ethernet/random_bug_9/fail_3_1pass,7052.78,1,1.0,1.0
27,designs/ethernet/random_bug_9/fail_3_multipass_DATE,4170.28,1,3.05308762965,0.591295914519
28,designs/ethernet/random_bug_9/fail_3_multipass_opt,6378.6,1,1.76238819093,0.904409325117
29,designs/ethernet/random_bug_9/fail_3_multipass_v2,3832.07,1,3.40769980369,0.543341774449
30,designs/fdct/buggy1/fail_0,637.11,1,1.13028053589,0.776442629943
31,designs/fdct/buggy1/fail_0_1pass,820.55,1,1.0,1.0
32,designs/fdct/buggy1/fail_0_multipass_DATE,676.82,1,1.54901479095,0.824836999573
33,designs/fdct/buggy1/fail_0_multipass_opt,2196.73,1,1.04821613287,2.67714337944
34,designs/fdct/buggy1/fail_0_multipass_v2,407.53,1,1.27350836376,0.496654682835
35,designs/fdct/buggy2/fail_0,4643.89,1,2.24650117598,0.432569611917
36,designs/fdct/buggy2/fail_0_1pass,10735.59,0,1.0,1.0
37,designs/fdct/buggy2/fail_0_multipass_DATE,3424.59,1,3.35707313761,0.318994112107
38,designs/fdct/buggy2/fail_0_multipass_opt,5307.93,1,2.35274137681,0.494423687939
39,designs/fdct/buggy2/fail_0_multipass_v2,3471.43,1,3.39367622758,0.323357169937
40,designs/fdct/buggy3/fail_1,363.16,1,0.974745525102,1.06661184211
41,designs/fdct/buggy3/fail_1_1pass,340.48,1,1.0,1.0
42,designs/fdct/buggy3/fail_1_multipass_DATE,353.89,1,0.996256121392,1.03938557331
43,designs/fdct/buggy3/fail_1_multipass_opt,358.87,1,1.03370738106,1.05401198308
44,designs/fdct/buggy3/fail_1_multipass_v2,347.65,1,1.03567203203,1.02105850564
45,designs/fdct/buggy4/fail_0,2059.26,1,1.83132332706,0.987162278767
46,designs/fdct/buggy4/fail_0_1pass,2086.04,1,1.0,1.0
47,designs/fdct/buggy4/fail_0_multipass_DATE,1039.6,1,3.94558568753,0.498360529999
48,designs/fdct/buggy4/fail_0_multipass_opt,2227.91,1,1.55135628544,1.06800924239
