,design,predictor,sample_type,sample_size,train_size,folds,dim,lambd,mean_precision,mean_recall,mean_fscore,mean_auprc,mean_size_err,median_precision,median_recall,median_fscore,median_auprc,median_size_err
0,ethernet,DATE,solver,0.1,,1000000000000.0,,,0.8492586670000001,0.325371605,0.43525809,0.802440613,0.61742815,1.0,0.283783784,0.442105263,0.935251851,0.669398907
1,ethernet,random,solver,0.1,,1000000000000.0,,,0.21072404371584694,0.1721733748339072,0.15868602963084916,0.2368967883352173,1.23744494775373,0.16530054644808742,0.16666666666666666,0.16528925619834708,0.20851967834713925,0.4760452961672474
2,ethernet,suspect2vec,solver,0.1,,1000000000000.0,20.0,0.0,0.8594902959999999,0.619541993,0.6858088640000001,0.8327671090000001,0.51380495,0.977525253,0.584314381,0.6964285709999999,0.941074937,0.322404372
3,fdct,DATE,solver,0.1,,1000000000000.0,,,0.9944711538461538,0.3901688004156844,0.5477792754132634,0.8337750368942366,0.6077615498853557,1.0,0.3680426716141002,0.5380421313506816,0.8503592079785351,0.6319573283858998
4,fdct,random,solver,0.1,,1000000000000.0,,,0.21733165922619047,0.17377920885758485,0.1731012473907609,0.23752260725812824,0.6064779579737701,0.1810515873015873,0.17350848385331144,0.1816932380428807,0.22800444052996985,0.4883720930232558
5,fdct,suspect2vec,solver,0.1,,1000000000000.0,20.0,0.0,0.9393709055795468,0.5382180403290434,0.663500031759506,0.7894099005243851,0.4393230178921436,0.9872357723577236,0.4789813486370158,0.6299899120910795,0.7916893778958737,0.4927574750830565
6,mips789,DATE,solver,0.1,,1000000000000.0,,,0.957534462,0.255844499,0.396669943,0.814200272,0.726747248,1.0,0.24025974,0.379146919,0.854620162,0.752941176
7,mips789,random,solver,0.1,,1000000000000.0,,,0.26375110477689745,0.22194762625532896,0.2196023238033999,0.3076113772754339,0.7614108770180926,0.2406417112299465,0.22131147540983606,0.23306233062330625,0.2827026838551225,0.3843537414965986
8,mips789,suspect2vec,solver,0.1,,1000000000000.0,20.0,0.0,0.912268739,0.393141212,0.529831997,0.756339749,0.569809795,0.974025974,0.36,0.522522523,0.7924108009999999,0.6088888889999999
9,sudoku_check,random,solver,0.1,,1000000000000.0,,,0.2031684550640234,0.15099846522436006,0.1443935584250638,0.20776051944974053,0.7242770302998052,0.1590909090909091,0.14285714285714285,0.14893617021276598,0.18798409417862816,0.7133333333333334
10,vga,DATE,solver,0.1,,1000000000000.0,,,0.863755926,0.2932728,0.4221887520000001,0.7112363079999999,0.6269138910000001,1.0,0.26875,0.409514399,0.773886713,0.686023127
11,vga,random,solver,0.1,,1000000000000.0,,,0.2417605898375129,0.1733211780288496,0.17186425126886953,0.2537096366428627,0.9014702015076684,0.1934065934065934,0.17012015868938551,0.17605898375129148,0.2244685813353967,0.5689655172413793
12,vga,suspect2vec,solver,0.1,,1000000000000.0,20.0,0.0,0.809358335,0.470554584,0.549105982,0.688782543,0.499076569,0.87474645,0.427055703,0.537213096,0.691905298,0.4947916670000001
13,wb_dma,DATE,solver,0.1,,1000000000000.0,,,0.866655015,0.250065773,0.369325964,0.6981557890000001,0.664231435,1.0,0.226804124,0.364261168,0.7286010359999999,0.765027322
14,wb_dma,random,solver,0.1,,1000000000000.0,,,0.2626523902535716,0.20847853038819067,0.19086483219560035,0.2971839899310266,1.3954663332908182,0.2258064516129032,0.21105527638190955,0.2181818181818181,0.2520853825509323,0.6820512820512821
15,wb_dma,suspect2vec,solver,0.1,,1000000000000.0,20.0,0.0,0.827178564,0.415978361,0.510422589,0.655765689,0.58401766,0.929623568,0.424657534,0.54180602,0.6718011070000001,0.571428571
16,ethernet,DATE,solver,0.2,,1000000000000.0,,,0.8850972420000001,0.486078973,0.585715373,0.8756158829999999,0.530487991,1.0,0.412762763,0.581584717,0.957968146,0.5889649920000001
17,ethernet,random,solver,0.2,,1000000000000.0,,,0.3107957650273224,0.2506893532957776,0.23339249998017536,0.3321335981854541,1.23744494775373,0.2561475409836066,0.24444444444444444,0.2584446190102121,0.31544002726957665,0.4760452961672474
18,ethernet,suspect2vec,solver,0.2,,1000000000000.0,20.0,0.0,0.91891391,0.767469669,0.81055143,0.90265501,0.428310428,0.985410577,0.79345522,0.8625336929999999,0.977193557,0.206820101
19,fdct,DATE,solver,0.2,,1000000000000.0,,,0.9637842625133484,0.5924739823019566,0.7211142232529281,0.852412102327105,0.3900864340998981,1.0,0.6141528239202658,0.7396209386281589,0.9088291316526612,0.3488372093023256
20,fdct,random,solver,0.2,,1000000000000.0,,,0.3275359623015873,0.2524477541231698,0.2553941727633885,0.33083857715314524,0.6064779579737701,0.28348214285714285,0.2406896551724138,0.26899340285167056,0.3298823065441452,0.4883720930232558
21,fdct,suspect2vec,solver,0.2,,1000000000000.0,20.0,0.0,0.9250137643657178,0.720423571908087,0.7885370577072208,0.8576572671414485,0.2812631052500966,0.9902912621359224,0.689876880984952,0.7434744461504716,0.9226355128230151,0.245959595959596
22,mips789,DATE,solver,0.2,,1000000000000.0,,,0.945215326,0.399169486,0.553434092,0.8155739209999999,0.577589893,0.994382022,0.386363636,0.547692308,0.840184941,0.592783505
23,mips789,random,solver,0.2,,1000000000000.0,,,0.34623006054447536,0.2945334169126408,0.28946552792510755,0.4018071255695135,0.7614108770180926,0.2983425414364641,0.2943262411347517,0.3050847457627119,0.3816899119747644,0.3843537414965986
24,mips789,suspect2vec,solver,0.2,,1000000000000.0,20.0,0.0,0.896015463,0.5348868489999999,0.6457383839999999,0.798549177,0.452661151,0.955357143,0.525773196,0.648464164,0.8307269429999999,0.459854015
25,sudoku_check,DATE,solver,0.2,,1000000000000.0,,,0.8222864661433897,0.5389567265630799,0.6143986358552911,0.8447897929751874,0.4307058998042427,0.8461538461538461,0.4901960784313725,0.6341463414634148,0.913238087194144,0.5185185185185185
26,sudoku_check,random,solver,0.2,,1000000000000.0,,,0.3001511827356497,0.2317528701396362,0.22146014545320256,0.3050481309059813,0.7242770302998052,0.2558139534883721,0.2272727272727273,0.2177215189873418,0.28728835981080403,0.7133333333333334
27,sudoku_check,suspect2vec,solver,0.2,,1000000000000.0,20.0,0.0,0.8613166572217903,0.6537238885660445,0.7160237106797991,0.8418540573894463,0.29073908714959745,0.9255319148936172,0.6268656716417911,0.7179487179487181,0.8985529257924213,0.25806451612903225
28,vga,DATE,solver,0.2,,1000000000000.0,,,0.881994079,0.4504403970000001,0.579756477,0.752788276,0.4680911370000001,0.986740429,0.43688185,0.590859199,0.777654835,0.5503663000000001
